POS tags:
('VBP', 'am,,get,,see,,are,,theyâve,,have')
('NN', 'nba,,chance,,minute,,game,,mike,,beuoy,,allison,,mccann,,basketball,,data,,github,,github,,facebooktwitteremail,,nba,,season,,chart,,shot,,seasonâs,,win,,point,,game,,team,,probability,,time,,score,,situation,,ie,,shot,,etc,,chart,,teamâs,,ingame,,probability,,minute,,regulation,,time,,itâs,,winloss,,record,,develop,,time,,probability,,model,,foundation,,chart,,model,,won,,state,,atlanta,,share,,winloss,,record,,point,,dominance,,hawks,,contrast,,donât,,quarter')
('JJ', 'teamâs,,datanbawinprobs,,nba,,foul,,win,,real,,win,,nba,,nba,,favorite,,golden,,similar,,different,,early,,insurmountable,,fourth,,own')
('VBG', 'winning,,winning,,remaining,,shooting,,watching,,building')
('VBN', 'filed,,given,,summarized,,based,,made,,averaged,,based,,played,,taken,,shown')
('NNS', 'data,,games,,possessions,,plays,,probabilities,,data,,seasons,,simulations,,games,,findings,,warriors,,hawks,,paths,,warriors,,games,,discoveries,,comments')
('VB', 'summarize,,weâve,,reflect,,get,,pull,,know')
('JJR', 'more,,more')
('VBZ', 'is,,has,,is,,provides,,uses,,is,,does,,leads')
('JJS', 'best')
('VBD', 'lost,,let')

