POS tags:
('VBP', 'am,,donate,,get,,foster,,do,,have,,am,,see,,have,,have,,abstain,,avoid,,think,,are,,shouldnât,,kid,,tell,,â,,have,,have,,barack,,obama,,mitt,,have,,â,,have,,arenât,,are,,wonât,,have,,have,,bring,,face,,have,,take,,think,,need,,âœwhen,,look,,scientistsâ,,identify,,donate,,account,,think,,have,,worry,,worry,,say,,have,,emphasize,,have')
('NNS', 'scientists,,politicians,,data,,politicians,,friends,,friends,,scientists,,elections,,years,,scientists,,engineers,,data,,plans,,thousands,,scientists,,supporters,,streets,,communities,,policies,,restrictions,,trumpâs,,scientists,,cuts,,scientists,,politics,,years,,data,,shows,,scientists,,engineers,,candidates,,parties,,candidates,,committees,,donations,,committees,,parties,,donors,,disciplines,,mathematics,,scientists,,donations,,committees,,groups,,amounts,,dollars,,data,,candidates,,candidates,,mathematics,,scientists,,scientists,,scientists,,concerns,,âœscientists,,politics,,politics,,contenders,,beneficiaries,,scientists,,candidates,,contests,,scientists,,engineers,,campaigns,,elections,,republicans,,engineers,,geologists,,democrats,,scientists,,engineers,,candidates,,recipients,,scientists,,professions,,donations,,times,,scientists,,engineers,,doctors,,lawyers,,data,,statistics,,doctors,,candidates,,parties,,scientists,,engineers,,lawyers,,scientists,,engineers,,years,,scientists,,members,,members,,members,,politicians,,deliberations,,scientists,,politics,,decisions,,scientists,,politics,,naughton,,races,,scientists,,petitions,,letters,,politics,,members,,scientists,,candidates,,candidates,,republicans,,platforms,,politics,,scientists,,democrats,,members,,givers,,differences,,donors,,givers,,politics,,people,,politics,,variations,,disciplines,,engineers,,candidates,,parties,,democrats,,engineers,,candidates,,groups,,democrats,,scientists,,candidates,,groups,,leanings,,scientists,,twothirds,,adults,,scientists,,findings,,years,,organizers,,politicians,,grievances,,policies,,people,,sides')
('VB', 'itâs,,democrats,,run,,give,,join,,take,,assert,,society,,foster,,keep,,begin,,candidate,,find,,support,,affect,,perform,,donate,,texas,,trumpâs,,warren,,feingold,,lawyers3,,find,,use,,fellow,,see,,persuade,,run,,provide,,go,,get,,establish,,support,,pick,,be,,be,,republicans,,republican,,politicize,,make,,invite,,speak')
('NN', 'ben,,wieder,,campaign,,finance,,data,,github,,github,,rep,,bill,,democrat,,illinois,,physicist,,bill,,clark,,cq,,roll,,call,,rep,,bill,,congress,,money,,illinois,,physicist,,accelerator,,fact,,candidate,,congress,,foster,,time,,analysis,,election,,commission,,pocket,,truth,,foster,,science,,mall,,washington,,world,,importance,,science,,detrimental,,field,,march,,wake,,communication,,president,,administration,,government,,budget,,funding,,moment,,engagement,,community,,armâs,,length,,percent,,party,,analysis,,occupation,,science,,engineering1,,science,,foundation,,purpose,,analysis,,analysis,,leadership,,jointfundraising,,party,,donation,,inflation,,github,,decade,,community,,willingness,,science,,background,,house,,support,,community,,degree,,science,,engineering,,analysis,,california,,democrat,,jerry,,engineer,,doctorate,,amount,,involvement,,holt,,member,,congress,,president,,association,,advancement,,science,,organization,,world,,holt,,public,,square,,scope,,expertise,,worry,,funding,,ability,,work,,science,,holt,,community,,obama,,list,,money,,clinton,,bid,,year,,romney,,year,,community,,â,,sen,,cruzâs,,campaign,,president,,warren,,massachusetts,,russ,,support,,decade,,cruz,,scott,,brown,,massachusetts,,bid,,hampshire,,senate,,doctors2,,bureau,,labor,,percent,,cycle,,period,,engagement,,community,,percent,,election,,cycle,,lot,,congress,,foster,,member,,degree,,field,,house,,scientists4,,house,,senator,,engineers5,,research,,service,,foster,,congress,,expertise,,guidance,,deal,,example,,kind,,knowledge,,component,,â,,naughton,,pennsylvania,,democrat,,drug,,researcher,,plunge,,house,,nonprofit,,action,,goal,,office,,support,,âœi,,community,,naughtonâs,,group,,strategist,,joe,,trippi,,board,,training,,session,,thursday,,washington,,run,,office,,group,,session,,group,,naughton,,fund,,party,,climate,,change,,difference,,naughton,,sideâ,,thatâs,,line,,pew,,research,,center,,survey,,association,,advancement,,science,,community,,skew,,rest,,population,,analysis,,center,,difference,,percent,,community,,preference,,percent,,percent,,party,,percent,,decade,,percent,,money,,slant,,pew,,survey,,survey,,community,,activity,,saturdayâs,,march,,science,,issue,,something,,i,,lot,,foster,,shouldnât,,beâ,,march,,event,,march,,trump,,administration,,âœantiscience,,aisle,,time,,caroline,,health,,researcher,,organizer,,march,,event,,washington,,âœacting,,thing,,credit,,administrationâ')
('VBN', 'filed,,decided,,continued,,raised,,organized,,imposed,,been,,described,,given,,considered,,identified,,excluded,,adjusted,,shown,,been,,favored,,received,,raised,,ted,,received,,been,,increased,,worked,,worked,,started,,called,,involved,,explained,,tended,,chosen,,been,,enacted')
('VBG', 'datasciencegiving,,aspiring,,according,,going,,according,,thinking,,taking,,going,,taking,,according,,giving,,running,,giving,,according,,growing,,understanding,,signing,,considering,,according,,giving,,giving,,giving,,according,,giving')
('JJ', 'facebooktwitteremail,,former,,many,,former,,fermi,,national,,many,,subsequent,,past,,selfidentified,,federal,,scientific,,saturday,,foster,,national,,protest,,american,,federal,,scientific,,unprecedented,,political,,scientific,,such,,donât,,past,,federal,,democratic,,political,,individual,,selfidentified,,national,,social,,candidateaffiliated,,independent,,political,,affiliated,,particular,,past,,scientific,,scientific,,bachelorâs,,foster,,political,,rush,,former,,eightterm,,american,,professional,,political,,overblown,,dirty,,pure,,scientific,,presidential,,democratic,,past,,presidential,,hillary,,unsuccessful,,last,,taking,,last,,scientific,,generous,,texas,,sen,,elizabeth,,wisconsinite,,senate,,past,,new,,top,,republican,,active,,other,,political,,selfidentified,,many,,recent,,political,,entire,,10year,,scientific,,political,,last,,presidential,,incumbent,,democratic,,other,,past,,only,,doctoral,,scientific,,other,,congressional,,scientific,,technical,,iran,,nuclear,,specialized,,significant,,technological,,shaughnessy,,former,,political,,financial,,scientific,,electoral,,veteran,,democratic,,prospective,,democratic,,separate,,stark,,many,,american,,half,,describe,,liberal,,liberal,,political,,scientific,,democratic,,political,,top,,political,,responsive,,republican,,overall,,scientific,,responsible,,overall,,scientific,,democratic,,total,,past,,democratic,,political,,american,,donât,,ideological,,consistent,,same,,scientific,,political,,partisan,,âœit,,nonpartisan,,particular,,long,,recent,,new,,much')
('VBZ', 'is,,democrat,,has,,has,,arenât,,has,,goes,,thinks,,is,,is,,theyâre,,does,,includes,,comes,,is,,points,,wants,,has,,is,,is,,counts,,says,,supports,,hopes,,is,,goes,,weinberg,,is,,is')
('VBD', 'did,,asked,,laboratory,,were,,gave,,took,,joked,,proposed,,donated,,fell,,were,,excluded,,were,,received,,mcnerney,,raised,,said,,said,,said,,topped,,received,,gave,,did,,feingold,,served,,lost,,gave,,gave,,gave,,gave,,was,,skewed,,said,,provided,,said,,lost,,said,,held,,attended,,said,,thereâs,,said,,felt,,had,,found,,were,,showed,,gave,,accounted,,went,,were,,increased,,said,,said')
('JJR', 'more,,more,,more,,more,,more,,more,,more,,more,,more,,less,,more,,more,,higher,,more,,more,,more,,more,,smaller,,more,,less,,more')
('NNP', 'âœi,,â,,â,,â,,âœwe,,â,,â')
('JJS', 'least,,secondlargest,,largest,,biggest')

