POS tags:
('NN', 'jul,,pm,,dear,,mona,,chalabi,,hope,,github,,github,,datasleepingalonedata,,facebooktwitteremail,,merle,,oberon,,melvin,,movie,,mona,,wife,,motion,,picture,,association,,america,,donâts,,item,,carefulâ,,section,,list,,woman,,bed,,togetherâ,,scene,,organization,,thought,,tv,,lucy,,ricky,,lucyâ,,offscreen,,journalist,,couple,,bed,,onscreen,,reality,,whatâs,,offscreen,,sleep,,foundation,,percent,,sleep,,poll,,someone,,sleep,,bed,,couch,,survey,,topic,,month,,audience,,partnership,,union,,data,,github,,page,,half,,partner,,percent,,partner,,home,,night,,i,,look,,age,,percent,,percent,,status,,story,,percentage,,rate,,arrangement,,wife,,girlfriend,,number,,percent,,night,,percent,,course,,function,,age,,vice,,versa,,i,,idea,,wife,,love,,lucyâ,,setup,,room,,â,,percent,,share,,bedroom,,percent,,percent,,couch,,way,,space,,itâs,,point,,paul,,rosenblatt,,professor,,emeritus,,university,,wealth,,class,,role,,rosenblatt,,research,,sleep,,house,,master,,question,,couple,,half,,place,,list,,option,,list,,percent,,percent,,percent,,i,,bedroom,,behavior,,i,,response,,question,,wife,,togetherâ,,sex,,sleep,,euphemism,,link,,sex,,sleep,,bedtime,,network,,online,,community,,bressler,,relationship,,sleeping,,sextime,,theory,,statement,,âœour,,sex,,life,,result,,bedsâ,,percent,,percent,,bedtime,,network,,comfort,,result,,evolution,,doctor,,laboratory,,norfolk,,university,,link,,sex,,sleep,,trend,,phenomenon,,arrangement,,lack,,space,,idea,,sex,,bedroom,,connection,,sleep,,sex,,reason,,mind,,time,,âbedroomsâ,,sense,,shameembarrassment,,therefore,,sleep,,sex,,bedroom,,door,,one,,place,,privacy,,bedroom,,sleep,,sex,,status,,kingdom,,question,,fivethirtyeightcom,,datalab538')
('VBD', 'mona,,required,,was,,were,,found,,were,,were,,did,,was,,thought,,was,,asked,,gathered,,were,,said,,said,,was,,were,,partnered,,mentioned,,had,,said,,slept,,had,,said,,specified,,slept,,slept,,said,,said,,were,,said,,found,,âœbed,,tried,,applied,,was,,was,,realized,,had,,tested,,agreed,,responded,,agreed,,said,,managed,,carried,,became,,started,,were,,were,,was,,became')
('JJ', 'many,,separate,,twin,,dear,,i,,different,,many,,anonymous,,dear,,anonymous,,carefulsâ,,âœman,,separate,,doesnât,,high,,anonymous,,many,,national,,america,,separate,,ask,,worth,,new,,detailed,,surveymonkey,,american,,domestic,,civil,,significant,,other,,curious,,married,,likely,,letâs,,likely,,possible,,marital,,different,,few,,separate,,other,,anonymous,,surprising,,long,,anonymous,,outdated,,separate,,separate,,minnesota,,large,,different,,several,,several,,first,,comprehensive,,possible,,high,,illness,,anonymous,,different,,âœmy,,i,,bizarre,,cindy,,lisa,,overall,,sacrosanct,,separate,,optimistic,,itâs,,social,,neil,,sleep,,norwich,,uniquely,,human,,thoroughly,,modern,,sleep,,other,,separate,,different,,different,,human,,same,,closed,,plenty,,other,,marital,,separate,,animal')
('NNS', 'couples,,beds,,numbers,,data,,data,,douglas,,censors,,beds,,beds,,couples,,decades,,beds,,times,,data,,chances,,bedrooms,,people,,arrangements,,data,,respondents,,couples,,data,,responses,,adults,,respondents,,couples,,respondents,,stereotypes,,couples,,years,,ones,,factors,,respondents,,respondents,,weâll,,reasons,,points,,couples,,couples,,beds,,factors,,years,,chances,,couples,,years,,couples,,years,,results,,beds,,respondents,,beds,,people,,bedrooms,,choices,,arrangements,,patterns,,challenges,,people,,bedrooms,,wingsâ,,people,,reasons,,boxes,,arguments,,cofounders,,tips,,mercurio,,âœcouples,,respondents,,respondents,,effects,,responses,,norms,,hospitals,,animals,,activities,,times,,locations,,adults,,couples,,arrangements,,couples,,numbers,,mona')
('VBP', 'sleep,,help,,ap,,sleep,,are,,love,,have,,have,,find,,have,,are,,are,,sleep,,are,,have,,get,,separate,,sleep,,affect,,have,,have,,sleep,,have,,are,,play,,rosenblatt,,are,,sleep,,are,,say,,âœstrongly,,disagreedâ,,are,,england,,are,,are,,have,,do,,hope,,help,,have')
('VBN', 'filed,,issued,,shown,,married,,changed,,seen,,tucked,,told,,married,,conducted,,married,,slept,,been,,compared,,spent,,been,,compared,,been,,been,,constrained,,made,,checked,,posed,,used,,overstated,,dedicated,,held,,scheduled,,improved,,caused,,lead,,linked,,linked,,linked,,answered')
('VB', 'get,,be,,risk,,suggestivenessâ,,take,,work,,gauge,,help,,conform,,sleep,,sleep,,be,,find,,afford,,decide,,sleep,,offer,,tick,,be,,sleep,,be,,achieve,,be,,stanley,,get,,like,,send,,dearmona')
('NNP', 'âœthe,,âœbe,,âœvulgarity,,âœi,,âœi')
('VBZ', 'â,,is,,is,,comes,,didnât,,is,,is,,does,,turns,,is,,is,,does,,is,,is,,is,,has,,suggests,,is,,has,,is,,is')
('VBG', 'being,,having,,sharing,,happening,,sleeping,,existing,,living,,sleeping,,getting,,cohabiting,,doing,,cohabiting,,sleeping,,sleeping,,remembering,,sleeping,,referring,,sharing,,snoring,,thinking,,according,,sharing,,sleeping,,asking,,sleeping,,sleeping,,according,,sleeping,,building,,developing,,sleeping')
('JJR', 'harder,,more,,older,,older,,less,,more,,better')
('JJS', 'best,,least,,best,,least,,most')

