To Do;Status;Date;Notes
;;;
Data collection:;;;
"Scraped 115 FiveThirtyEight articles stored on github (folder ""data"")";Completed;20-2-2018;Each folder represents an unique article with: Corresponding csv files, Corresponding article text (in .txt format), Link to article on FiveThirtyEight
Store corresponding article images (graphs, data tables) ;Completed;27-2-2018;For each article in data folder
Make an overview of data, images;In progress;;Count amount of columns in images for every article
;;;
Literature:;;;
Exploring the Types of Messages that Pie Charts Convey in Popular Media ;Completed;27-2-2018;Burns, R., Balawejder, E., Domanowska, W., Schwartz, S. E., & Carberry, S. (2016, August). Exploring the Types of Messages that Pie Charts Convey in Popular Media. In International Conference on Theory and Application of Diagrams (pp. 265-271). Springer, Cham.
Generating Textual Summaries of Bar Charts ;Completed;27-2-2018;Demir, S., Carberry, S., & McCoy, K. F. (2008, June). Generating textual summaries of bar charts. In Proceedings of the Fifth International Natural Language Generation Conference (pp. 7-15). Association for Computational Linguistics.
The Automated Understanding of Simple Bar Charts;;;Elzer, S., Carberry, S., & Zukerman, I. (2011). The automated understanding of simple bar charts. Artificial Intelligence, 175(2), 526-555.
Automatically Recognizing Intended Messages in Grouped Bar Charts;;;Burns, R., Carberry, S., Elzer, S., & Chester, D. (2012, July). Automatically recognizing intended messages in grouped bar charts. In International Conference on Theory and Application of Diagrams (pp. 8-22). Springer, Berlin, Heidelberg.
Recognizing the Intended Message of Line Graphs;;;Wu, P., Carberry, S., Elzer, S., & Chester, D. (2010). Recognizing the intended message of line graphs. In Diagrammatic Representation and Inference (pp. 220-234). Springer, Berlin, Heidelberg.
;;;
Other:;;;
Perform a qualitative analysis on some articles;In progress;;What is the intended message?,  What are the textual characteristics related to the visual representation described in the article,  What are the key indicators?, E.g. indicators for a bar chart:The graphic shows an increasing trend in the mean dollar value?? over the period from 2000 to 2005
Create git hub;Completed;;
;;;
